date,open,high,low,close,volume,wap,count
1783929600,173.2,177.08,173.2,174.55,7701,175.295,31
1783929601,176.26,176.65,172.59,173.71,3329,174.205,9
1783929602,173,176.86,172.9,176.48,2088,174.033,10
1783929603,173.47,175.69,173.47,175.69,893,174.35,5
1783929604,174.92,174.93,172.87,173.52,1586,173.199,5
1783929605,174,174,173.97,174,1179,173.992,6
1783929606,173.71,173.71,173.71,173.71,100,173.71,1
1783929607,174.23,174.41,174.23,174.41,600,174.365,5
1783929608,174.24,174.24,173.83,173.84,601,174.172,2
1783929609,176.8,176.8,172.05,172.05,483,175.545,3
1783929610,173.69,174.36,173.69,173.96,731,173.955,4
1783929611,173.96,173.96,173.96,173.96,0,173.96,0
1783929612,173.96,173.96,173.96,173.96,0,173.96,0
1783929613,173.96,173.96,173.96,173.96,0,173.96,0
1783929614,173.96,173.96,173.96,173.96,100,173.96,1
1783929615,176.04,176.05,173.96,173.96,916,175.518,5
1783929616,173.96,176.78,173.96,176,1789,175.763,9
1783929617,174.6,175.3,172.46,172.46,1980,174.404,11
1783929618,176.09,176.86,174.37,174.54,1519,175.897,10
1783929619,175.15,175.16,172.35,172.35,1139,174.116,6
1783929620,173.1,173.2,172.06,173.2,803,172.687,5
