date,open,high,low,close,volume,wap,count
1784880000,155,155,151.18,155,3406,154.544,17
1784880001,155,155,155,155,105,155,1
1784880002,150.9,155.06,150.89,154.17,6809,153.5,26
1784880003,153.67,156.22,150.65,151.98,17415,153.49,59
1784880004,152.87,156.17,151.5,155,10004,154.464,28
1784880005,155.01,155.01,154.9,154.9,600,154.942,5
1784880006,151.7,152.87,151.69,152.87,632,152.294,3
1784880007,153.1,155.07,150.65,153,5853,153.284,30
1784880008,153.16,154.98,150.89,154.02,4611,152.942,26
1784880009,152.63,156.43,151.87,151.99,8286,154.309,38
1784880010,151.77,154.1,150.55,151.49,6564,151.904,23
1784880011,150.8,156.32,150.8,153.05,18602,152.679,76
1784880012,152.65,155.23,151.93,154.04,16361,153.794,67
1784880013,154.71,155.22,151.5,153.04,13798,153.885,44
1784880014,152.05,156,150.81,151.9,9845,152.917,59
1784880015,153.69,156.44,151,153.4,9500,154.514,45
1784880016,153.98,155.9,153.97,155.27,8175,154.877,19
1784880017,155.02,155.02,154.85,154.85,1027,154.971,5
1784880018,155.01,155.01,154.81,154.81,200,154.91,2
1784880019,154.81,154.81,154.81,154.81,0,154.81,0
1784880020,154.81,154.81,154.81,154.81,0,154.81,0
1784880021,154.81,154.81,154.81,154.81,0,154.81,0
1784880022,154.81,154.81,154.81,154.81,0,154.81,0
1784880023,154.81,154.81,154.81,154.81,0,154.81,0
1784880024,154.81,154.81,154.81,154.81,0,154.81,0
1784880025,154.98,155.02,154.94,154.94,553,154.991,5
1784880026,154.94,154.94,154.94,154.94,0,154.94,0
1784880027,154.94,154.94,154.94,154.94,0,154.94,0
1784880028,154.94,154.94,154.94,154.94,0,154.94,0
1784880029,154.94,154.94,154.94,154.94,0,154.94,0
1784880030,155,155,155,155,937,155,5
1784880031,155,155,155,155,0,155,0
1784880032,154.97,154.97,154.97,154.97,100,154.97,1
1784880033,154.87,154.87,154.86,154.86,200,154.865,2
1784880034,154.86,154.86,154.86,154.86,0,154.86,0
1784880035,154.86,154.86,154.86,154.86,0,154.86,0
1784880036,155,155.1,155,155.1,358,155.072,3
1784880037,155.1,155.1,155.1,155.1,0,155.1,0
1784880038,155.1,155.1,155.1,155.1,0,155.1,0
1784880039,155.1,155.1,155.1,155.1,0,155.1,0
1784880040,155.1,155.1,155.1,155.1,0,155.1,0
1784880041,155.1,155.1,155.1,155.1,0,155.1,0
1784880042,155.1,155.1,155.1,155.1,0,155.1,0
1784880043,155.1,155.1,155.1,155.1,0,155.1,0
1784880044,155.1,155.1,155.1,155.1,0,155.1,0
1784880045,155.1,155.1,155.1,155.1,0,155.1,0
1784880046,155.1,155.1,155.1,155.1,0,155.1,0
1784880047,155.1,155.1,155.1,155.1,0,155.1,0
1784880048,155.1,155.1,155.1,155.1,0,155.1,0
1784880049,155.1,155.1,155.1,155.1,0,155.1,0
1784880050,155.1,155.1,155.1,155.1,0,155.1,0
1784880051,155.1,155.1,155.1,155.1,0,155.1,0
1784880052,150.41,150.41,150.04,150.04,772,150.236,5
1784880053,150.41,150.41,150,150.02,2900,150.068,10
1784880054,150.01,150.55,150,150.55,638,150.151,6
1784880055,150.36,151.08,149.97,150.21,9822,150.32,41
1784880056,150.08,151.49,149.88,151,16131,150.277,58
1784880057,150.08,151.6,149.88,151.17,8952,150.553,57
1784880058,150,151.62,149.88,150.05,11628,150.277,49
1784880059,150.87,155,149.88,151.56,6713,150.958,37
1784880060,150.8,151.72,150.69,151.16,8354,151.411,46
1784880061,151.5,156.5,150.04,151.79,19601,153.225,95
1784880062,155.62,156.23,150,153.2,33885,153.144,122
1784880063,153.25,155,149.89,150,22394,151.596,117
1784880064,151.38,153.1,150.65,150.86,9290,151.763,47
1784880065,152.99,153.17,150.47,152,12092,151.922,64
1784880066,152.5,153.3,151.29,151.89,10402,152.392,58
1784880067,152.33,153.32,151.57,153,10901,152.593,51
1784880068,153.1,154.91,151.8,152.9,11358,152.92,71
1784880069,153.01,153.3,151.71,152.23,10390,152.701,66
1784880070,152.39,153.3,151.8,152.08,7673,152.701,51
1784880071,151.91,153.87,151.8,151.9,10392,152.898,58
1784880072,152.33,154.09,151.71,153.83,8049,152.888,61
1784880073,152,154.5,151.72,152.38,9791,153.139,56
1784880074,153.94,155.04,151.93,152.74,14866,153.308,72
1784880075,154.99,155.01,151.92,153.52,6981,153.809,54
